mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.22371086571134816,4.245515572015962e-56,0.22371086571134816,1,0,0.025
103.0,0.21018423760710797,3.2124756609542617e-47,0.21018423760710797,1,1,0.025
105.0,0.19649723975249456,4.108375917619008e-39,0.19649723975249456,0,1,0.025
107.0,0.18281306166940728,8.880172961678235e-32,0.18281306166940728,0,0,0.025
109.0,0.16927976889636764,3.24409523998434e-25,0.16927976889636764,0,0,0.025
111.0,0.15603030298851958,2.0030264664528655e-19,0.15603030298851958,0,0,0.025
113.0,0.14318248151762922,2.0902618821435212e-14,0.14318248151765012,1,1,0.025
115.0,0.13083899807208518,3.6866816307426705e-10,0.13083899844075333,0,0,0.025
117.0,0.11908742225689839,1.0989843052842388e-06,0.11908852124120367,0,0,0.025
119.0,0.10800019969370207,0.0005536920227945622,0.10855389171649664,0,0,0.025
121.0,0.09763465202075178,0.04714829192876219,0.14478294394951396,0,0,0.025
123.0,0.08803297689292552,0.6785542614683783,0.7665872383613038,0,0,0.025
125.0,0.07922224798172346,1.6505326577107409,1.7297549056924644,0,1,0.025
127.0,0.07121441497526836,0.6785542614683783,0.7497686764436466,0,1,0.025
129.0,0.06400630357830499,0.04714829192876219,0.11115459550706717,0,0,0.025
131.0,0.057579615512200755,0.0005536920227945622,0.058133307534995314,0,1,0.025
133.0,0.051900928514945266,1.0989843052842388e-06,0.05190202749925055,0,0,0.025
135.0,0.04692169634115048,3.6866816307426705e-10,0.04692169670981865,0,0,0.025
137.0,0.04257824876205072,2.0902618821435212e-14,0.04257824876207162,0,0,0.025
139.0,0.038791791565502616,2.0030264664528655e-19,0.038791791565502616,0,0,0.025
141.0,0.035468406555985175,3.24409523998434e-25,0.035468406555985175,0,0,0.025
143.0,0.03249905155459973,8.880172961678235e-32,0.03249905155459973,0,0,0.025
145.0,0.02975956039906995,4.108375917619008e-39,0.02975956039906995,1,0,0.025
147.0,0.02711064294374185,3.2124756609542617e-47,0.02711064294374185,0,0,0.025
149.0,0.024397885059583777,4.245515572015962e-56,0.024397885059583777,0,0,0.025
151.0,0.021451748634186422,9.482917044544853e-66,0.021451748634186422,0,0,0.025
153.0,0.01808757157176284,3.5799287715394324e-76,0.01808757157176284,0,0,0.025
155.0,0.014105567793148387,2.2841664122714505e-87,0.014105567793148387,0,0,0.025
157.0,0.009290827235800781,2.46321328135951e-99,0.009290827235800781,0,0,0.025
159.0,0.003413315853800083,4.489492135017383e-112,0.003413315853800083,0,0,0.025
