mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.007583719554896329,7.842319551210327e-58,0.007583719554896329,0,0,0.01
103.0,0.006606533485732185,5.9340874521221056e-49,0.006606533485732185,0,0,0.01
105.0,0.005726970893416755,7.588995078674529e-41,0.005726970893416755,0,0,0.01
107.0,0.004938302577371296,1.640346216005746e-33,0.004938302577371296,0,0,0.01
109.0,0.004234039665609159,5.9924951622393656e-27,0.004234039665609159,0,0,0.01
111.0,0.0036079336147358094,3.699991992255489e-21,0.0036079336147358094,0,0,0.01
113.0,0.0030539762099488113,3.861133317596085e-16,0.0030539762099491973,0,0,0.01
115.0,0.002566399565037832,6.810041075442913e-12,0.0025663995718478733,0,0,0.01
117.0,0.0021396761223846494,2.0300446335923794e-08,0.0021396964228309855,0,0,0.01
119.0,0.0017685186529631403,1.022780320094104e-05,0.0017787464561640814,0,0,0.01
121.0,0.0014478802563392883,0.000870923602391897,0.0023188038587311855,0,0,0.01
123.0,0.001172954360671181,0.01253425941090987,0.01370721377158105,0,0,0.01
125.0,0.0009391747227090105,0.03048865164173615,0.03142782636444516,0,0,0.01
127.0,0.0007422154277950751,0.01253425941090987,0.013276474838704944,0,0,0.01
129.0,0.0005779908898637738,0.000870923602391897,0.0014489144922556708,0,0,0.01
131.0,0.0004426558514416139,1.022780320094104e-05,0.00045288365464255496,0,0,0.01
133.0,0.0003326053836472049,2.0300446335923794e-08,0.00033262568409354084,0,0,0.01
135.0,0.0002444748861912614,6.810041075442913e-12,0.00024447489300130247,0,0,0.01
137.0,0.00017514008737660268,3.861133317596085e-16,0.0001751400873769888,0,0,0.01
139.0,0.00012171704409815225,3.699991992255489e-21,0.00012171704409815225,0,0,0.01
141.0,8.156214184293822e-05,5.9924951622393656e-27,8.156214184293822e-05,0,0,0.01
143.0,5.227209469009315e-05,1.640346216005746e-33,5.227209469009315e-05,0,0,0.01
145.0,3.168394531085408e-05,7.588995078674529e-41,3.168394531085408e-05,0,0,0.01
147.0,1.7875064968562544e-05,5.9340874521221056e-49,1.7875064968562544e-05,0,0,0.01
149.0,9.163153518664549e-06,7.842319551210327e-58,9.163153518664549e-06,0,0,0.01
151.0,4.106239408710576e-06,1.751685148233397e-67,4.106239408710576e-06,0,0,0.01
153.0,1.5026796783555954e-06,6.612847113796547e-78,1.5026796783555954e-06,0,0,0.01
155.0,3.9115995935905597e-07,4.2193139111884985e-89,3.9115995935905597e-07,0,0,0.01
157.0,5.0694475584886374e-08,4.5500494221562593e-101,5.0694475584886374e-08,0,0,0.01
159.0,6.260430014958766e-10,8.292993241509524e-114,6.260430014958766e-10,0,0,0.01
