mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.2952983427389796,6.066721575316511e-56,0.2952983427389796,1,0,0.033
103.0,0.27744319364138254,4.590536784496127e-47,0.27744319364138254,1,1,0.033
105.0,0.2593763564732928,5.870752891172364e-39,0.2593763564732928,0,1,0.033
107.0,0.24131324140361762,1.2689515792677705e-31,0.24131324140361762,0,0,0.033
109.0,0.2234492949432053,4.63572026788001e-25,0.2234492949432053,0,1,0.033
111.0,0.20595999994484585,2.862268121228294e-19,0.20595999994484585,0,2,0.033
113.0,0.18900087560327056,2.986925060892021e-14,0.18900087560330042,1,0,0.033
115.0,0.17270747745515244,5.268163692055239e-10,0.1727074779819688,0,0,0.033
117.0,0.15719539737910587,1.5704174634875305e-06,0.15719696779656936,0,0,0.033
119.0,0.14256026359568674,0.0007912102273065889,0.14335147382299332,0,0,0.033
121.0,0.12887774066739235,0.06737357454744192,0.19625131521483427,0,0,0.033
123.0,0.1162035294986617,0.9696348319171104,1.085838361415772,0,2,0.033
125.0,0.10457336733587497,2.3585644465186775,2.4631378138545523,0,4,0.033
127.0,0.09400302776735422,0.9696348319171104,1.0636378596844647,0,2,0.033
129.0,0.08448832072336257,0.06737357454744192,0.1518618952708045,0,0,0.033
131.0,0.076005092476105,0.0007912102273065889,0.07679630270341159,0,0,0.033
133.0,0.06850922563972775,1.5704174634875305e-06,0.06851079605719124,0,0,0.033
135.0,0.06193663917031863,5.268163692055239e-10,0.061936639697135,0,0,0.033
137.0,0.056203288365906955,2.986925060892021e-14,0.05620328836593683,0,0,0.033
139.0,0.051205164866463454,2.862268121228294e-19,0.051205164866463454,0,0,0.033
141.0,0.046818296653900436,4.63572026788001e-25,0.046818296653900436,0,0,0.033
143.0,0.042898748052071646,1.2689515792677705e-31,0.042898748052071646,0,0,0.033
145.0,0.039282619726772335,5.870752891172364e-39,0.039282619726772335,1,0,0.033
147.0,0.03578604868573924,4.590536784496127e-47,0.03578604868573924,0,1,0.033
149.0,0.03220520827865058,6.066721575316511e-56,0.03220520827865058,0,0,0.033
151.0,0.028316308197126078,1.3550820025318858e-65,0.028316308197126078,0,0,0.033
153.0,0.023875594474726945,5.1156168780890175e-76,0.023875594474726945,0,0,0.033
155.0,0.01861934948695587,3.264009145621954e-87,0.01861934948695587,0,0,0.033
157.0,0.01226389195125703,3.519862053299221e-99,0.01226389195125703,0,0,0.033
159.0,0.0045055769270161096,6.4153571776420615e-112,0.0045055769270161096,0,0,0.033
