mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.05308603688427431,9.571922142094314e-57,0.05308603688427431,1,0,0.07
103.0,0.0462457344001253,7.242834560002776e-48,0.0462457344001253,0,0,0.07
105.0,0.04008879625391729,9.262727635039886e-40,0.04008879625391729,0,0,0.07
107.0,0.03456811804159907,2.0021201843608632e-32,0.03456811804159907,0,0,0.07
109.0,0.029638277659264117,7.314123934286707e-26,0.029638277659264117,0,1,0.07
111.0,0.025255535303150667,4.516015324927192e-20,0.025255535303150667,0,0,0.07
113.0,0.02137783346964168,4.712695938355654e-15,0.02137783346964639,0,0,0.07
115.0,0.017964796955264824,8.311977410885226e-11,0.0179647970383846,0,0,0.07
117.0,0.014977732856692547,2.477765545108874e-07,0.014977980633247057,0,0,0.07
119.0,0.012379630570741982,0.0001248351782719202,0.012504465749013902,0,0,0.07
121.0,0.010135161794375017,0.010630034722980604,0.020765196517355623,0,0,0.07
123.0,0.008210680524698269,0.15298656782166678,0.16119724834636506,0,1,0.07
125.0,0.006574223058963074,0.37212842173345856,0.3787026447924216,0,0,0.07
127.0,0.0051955079945655265,0.15298656782166678,0.1581820758162323,0,0,0.07
129.0,0.004045936229046417,0.010630034722980604,0.014675970952027021,0,0,0.07
131.0,0.0030985909600912973,0.0001248351782719202,0.0032234261383632173,0,0,0.07
133.0,0.0023282376855304344,2.477765545108874e-07,0.0023284854620849453,0,0,0.07
135.0,0.00171132420333883,8.311977410885226e-11,0.001711324286458604,0,0,0.07
137.0,0.0012259806116362189,4.712695938355654e-15,0.0012259806116409315,0,0,0.07
139.0,0.0008520193086870659,4.516015324927192e-20,0.0008520193086870659,0,0,0.07
141.0,0.0005709349929005676,7.314123934286707e-26,0.0005709349929005676,0,0,0.07
143.0,0.0003659046628306521,2.0021201843608632e-32,0.0003659046628306521,0,0,0.07
145.0,0.00022178761717597857,9.262727635039886e-40,0.00022178761717597857,0,0,0.07
147.0,0.00012512545477993782,7.242834560002776e-48,0.00012512545477993782,0,0,0.07
149.0,6.414207463065185e-05,9.571922142094314e-57,6.414207463065185e-05,0,0,0.07
151.0,2.8743675860974034e-05,2.1380146201470856e-66,2.8743675860974034e-05,0,0,0.07
153.0,1.0518757748489169e-05,8.071292848691016e-77,1.0518757748489169e-05,0,0,0.07
155.0,2.7381197155133923e-06,5.149872303369572e-88,2.7381197155133923e-06,0,0,0.07
157.0,3.5486132909420467e-07,5.55355064622932e-100,3.5486132909420467e-07,0,0,0.07
159.0,4.382301010471136e-09,1.0121990708781127e-112,4.382301010471136e-09,0,0,0.07
