mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.3042467773674335,6.304103291173212e-56,0.3042467773674335,1,1,0.034
103.0,0.28585056314566687,4.770157603595632e-47,0.28585056314566687,1,1,0.034
105.0,0.26723624606339264,6.100466646349018e-39,0.26723624606339264,0,0,0.034
107.0,0.2486257638703939,1.318603751282923e-31,0.2486257638703939,0,1,0.034
109.0,0.23022048569906,4.817109048914292e-25,0.23022048569906,0,2,0.034
111.0,0.21220121206438664,2.9742643797385845e-19,0.21220121206438664,0,0,0.034
113.0,0.19472817486397573,3.1037989584802634e-14,0.19472817486400676,1,0,0.034
115.0,0.17794103737803585,5.474299035685014e-10,0.17794103792546576,0,0,0.034
117.0,0.16195889426938181,1.6318655433880076e-06,0.1619605261349252,0,0,0.034
119.0,0.14688027158343483,0.0008221690967766468,0.1477024406802115,1,0,0.034
121.0,0.13278312674822243,0.07000980146686117,0.2027929282150836,0,0,0.034
123.0,0.11972484857437872,1.007575188549168,1.1273000371235466,0,2,0.034
125.0,0.10774225725514391,2.4508515357352287,2.5585937929903726,0,6,0.034
127.0,0.09685160436636496,1.007575188549168,1.104426792915533,0,3,0.034
129.0,0.08704857286649478,0.07000980146686117,0.15705837433335595,0,0,0.034
131.0,0.07830827709659303,0.0008221690967766468,0.07913044619336967,0,0,0.034
133.0,0.07058526278032556,1.6318655433880076e-06,0.07058689464586895,0,0,0.034
135.0,0.06381350702396466,5.474299035685014e-10,0.06381350757139456,0,0,0.034
137.0,0.05790641831638898,3.1037989584802634e-14,0.057906418316420016,0,0,0.034
139.0,0.05275683652908356,2.9742643797385845e-19,0.05275683652908356,0,1,0.034
141.0,0.048237032916139844,4.817109048914292e-25,0.048237032916139844,0,0,0.034
143.0,0.044198710114255635,1.318603751282923e-31,0.044198710114255635,1,0,0.034
145.0,0.04047300214273514,6.100466646349018e-39,0.04047300214273514,0,0,0.034
147.0,0.036870474403488916,4.770157603595632e-47,0.036870474403488916,0,0,0.034
149.0,0.03318112368103394,6.304103291173212e-56,0.03318112368103394,0,0,0.034
151.0,0.029174378142493535,1.4081043288236227e-65,0.029174378142493535,0,0,0.034
153.0,0.02459909733759746,5.3157832936909913e-76,0.02459909733759746,0,0,0.034
155.0,0.019183572198681807,3.3917249278513824e-87,0.019183572198681807,0,0,0.034
157.0,0.012635525040689063,3.657588976056091e-99,0.012635525040689063,0,0,0.034
159.0,0.004642109561168113,6.666380481704408e-112,0.004642109561168113,0,0,0.034
