mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.037918597774481644,6.210409741710217e-57,0.037918597774481644,1,0,0.05
103.0,0.03303266742866092,4.699262033403349e-48,0.03303266742866092,0,0,0.05
105.0,0.028634854467083776,6.0097996082188926e-40,0.028634854467083776,0,0,0.05
107.0,0.02469151288685648,1.299006251037979e-32,0.02469151288685648,0,0,0.05
109.0,0.021170198328045797,4.745515671696785e-26,0.021170198328045797,0,1,0.05
111.0,0.018039668073679047,2.930059934806782e-20,0.018039668073679047,0,0,0.05
113.0,0.015269881049744055,3.057669330235317e-15,0.015269881049747113,0,0,0.05
115.0,0.01283199782518916,5.392938295896164e-11,0.012831997879118543,0,0,0.05
117.0,0.010698380611923249,1.607612248677488e-07,0.010698541373148115,0,0,0.05
119.0,0.008842593264815702,8.099497632128002e-05,0.008923588241136982,0,0,0.05
121.0,0.007239401281696441,0.006896929396029571,0.014136330677726011,0,0,0.05
123.0,0.005864771803355906,0.09926002918183041,0.10512480098518631,0,1,0.05
125.0,0.004695873613545052,0.24144262157517532,0.24613849518872039,0,0,0.05
127.0,0.003711077138975376,0.09926002918183041,0.10297110632080579,0,0,0.05
129.0,0.002889954449318869,0.006896929396029571,0.00978688384534844,0,0,0.05
131.0,0.0022132792572080694,8.099497632128002e-05,0.0022942742335293493,0,0,0.05
133.0,0.0016630269182360245,1.607612248677488e-07,0.0016631876794608923,0,0,0.05
135.0,0.0012223744309563071,5.392938295896164e-11,0.00122237448488569,0,0,0.05
137.0,0.0008757004368830134,3.057669330235317e-15,0.000875700436886071,0,0,0.05
139.0,0.0006085852204907613,2.930059934806782e-20,0.0006085852204907613,0,0,0.05
141.0,0.0004078107092146911,4.745515671696785e-26,0.0004078107092146911,0,0,0.05
143.0,0.00026136047345046577,1.299006251037979e-32,0.00026136047345046577,0,0,0.05
145.0,0.00015841972655427042,6.0097996082188926e-40,0.00015841972655427042,0,0,0.05
147.0,8.937532484281273e-05,4.699262033403349e-48,8.937532484281273e-05,0,0,0.05
149.0,4.5815767593322746e-05,6.210409741710217e-57,4.5815767593322746e-05,0,0,0.05
151.0,2.0531197043552882e-05,1.3871766430786228e-66,2.0531197043552882e-05,0,0,0.05
153.0,7.5133983917779774e-06,5.236778464303225e-77,7.5133983917779774e-06,0,0,0.05
155.0,1.95579979679528e-06,3.3413160540409765e-88,1.95579979679528e-06,0,0,0.05
157.0,2.5347237792443185e-07,3.603228747834063e-100,2.5347237792443185e-07,0,0,0.05
159.0,3.1302150074793833e-09,6.567302655635749e-113,3.1302150074793833e-09,0,0,0.05
