mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.18791712719753245,3.39293261542159e-56,0.18791712719753245,1,0,0.021
103.0,0.1765547595899707,2.5673474190377465e-47,0.1765547595899707,1,1,0.021
105.0,0.16505768139209545,3.2833332985946525e-39,0.16505768139209545,0,1,0.021
107.0,0.1535629718023021,7.096859724378779e-32,0.1535629718023021,0,0,0.021
109.0,0.14219500587294884,2.592617165233993e-25,0.14219500587294884,0,0,0.021
111.0,0.13106545451035645,1.6007793899937282e-19,0.13106545451035645,0,0,0.021
113.0,0.12027328447480853,1.670496219927799e-14,0.12027328447482524,1,0,0.021
115.0,0.10990475838055154,2.946323511347477e-10,0.10990475867518389,0,1,0.021
117.0,0.10003343469579465,8.782866603560092e-07,0.100034312982455,0,0,0.021
119.0,0.09072016774270975,0.0004424997838710933,0.09116266752658084,0,0,0.021
121.0,0.0820131076974315,0.037679988386087646,0.11969309608351915,0,0,0.021
123.0,0.07394770059005744,0.5422872313187959,0.6162349319088533,0,0,0.021
125.0,0.06654668830464772,1.319073264994774,1.3856199532994218,0,0,0.021
127.0,0.059820108579225414,0.5422872313187959,0.6021073398980212,0,0,0.021
129.0,0.05376529500577618,0.037679988386087646,0.09144528339186384,0,0,0.021
131.0,0.04836687703024864,0.0004424997838710933,0.04880937681411973,0,0,0.021
133.0,0.043596779952554024,8.782866603560092e-07,0.04359765823921438,0,0,0.021
135.0,0.039414224926566405,2.946323511347477e-10,0.03941422522119876,0,0,0.021
137.0,0.0357657289601226,1.670496219927799e-14,0.035765728960139305,0,0,0.021
139.0,0.0325851049150222,1.6007793899937282e-19,0.0325851049150222,0,0,0.021
141.0,0.029793461507027552,2.592617165233993e-25,0.029793461507027552,0,0,0.021
143.0,0.027299203305863773,7.096859724378779e-32,0.027299203305863773,0,0,0.021
145.0,0.024998030735218762,3.2833332985946525e-39,0.024998030735218762,1,0,0.021
147.0,0.022772940072743154,2.5673474190377465e-47,0.022772940072743154,0,0,0.021
149.0,0.02049422345005037,3.39293261542159e-56,0.02049422345005037,0,0,0.021
151.0,0.018019468852716596,7.578560950724636e-66,0.018019468852716596,0,0,0.021
153.0,0.015193560120280784,2.861008724100521e-76,0.015193560120280784,0,0,0.021
155.0,0.011848676946244644,1.8254609099375561e-87,0.011848676946244644,0,0,0.021
157.0,0.007804294878072656,1.9685516492160204e-99,0.007804294878072656,0,0,0.021
159.0,0.00286718531719207,3.5879138901252663e-112,0.00286718531719207,0,0,0.021
