mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.26845303885361776,5.367040807103371e-56,0.26845303885361776,1,0,0.03
103.0,0.25222108512852953,4.0611058119334287e-47,0.25222108512852953,1,1,0.03
105.0,0.23579668770299345,5.193673377650979e-39,0.23579668770299345,0,1,0.03
107.0,0.21937567400328872,1.1226021869667022e-31,0.21937567400328872,0,0,0.03
109.0,0.20313572267564117,4.101078241213031e-25,0.20313572267564117,0,1,0.03
111.0,0.18723636358622348,2.5321600170355424e-19,0.18723636358622348,0,2,0.03
113.0,0.17181897782115504,2.642440153309794e-14,0.17181897782118147,1,0,0.03
115.0,0.1570067976865022,4.660581363878677e-10,0.15700679815256033,0,0,0.03
117.0,0.14290490670827807,1.3892997240911975e-06,0.14290629600800217,0,0,0.03
119.0,0.1296002396324425,0.0006999591994182545,0.13030019883186075,0,0,0.03
121.0,0.11716158242490213,0.05960331612839454,0.17676489855329666,0,0,0.03
123.0,0.10563957227151062,0.8578059247125486,0.9634454969840592,0,2,0.03
125.0,0.09506669757806815,2.0865489661091794,2.1816156636872477,0,3,0.03
127.0,0.08545729797032202,0.8578059247125486,0.9432632226828706,0,1,0.03
129.0,0.07680756429396597,0.05960331612839454,0.13641088042236052,0,0,0.03
131.0,0.0690955386146409,0.0006999591994182545,0.06979549781405917,0,0,0.03
133.0,0.062281114217934315,1.3892997240911975e-06,0.062282503517658405,0,0,0.03
135.0,0.05630603560938057,4.660581363878677e-10,0.05630603607543871,0,0,0.03
137.0,0.05109389851446086,2.642440153309794e-14,0.051093898514487285,0,0,0.03
139.0,0.046550149878603134,2.5321600170355424e-19,0.046550149878603134,0,0,0.03
141.0,0.04256208786718221,4.101078241213031e-25,0.04256208786718221,0,0,0.03
143.0,0.03899886186551967,1.1226021869667022e-31,0.03899886186551967,0,0,0.03
145.0,0.03571147247888394,5.193673377650979e-39,0.03571147247888394,1,0,0.03
147.0,0.032532771532490214,4.0611058119334287e-47,0.032532771532490214,0,0,0.03
149.0,0.02927746207150053,5.367040807103371e-56,0.02927746207150053,0,0,0.03
151.0,0.025742098361023705,1.1987991066131217e-65,0.025742098361023705,0,1,0.03
153.0,0.021705085886115402,4.525627919026117e-76,0.021705085886115402,0,0,0.03
155.0,0.01692668135177806,2.887567867064624e-87,0.01692668135177806,0,0,0.03
157.0,0.011148992682960936,3.113913015605301e-99,0.011148992682960936,0,0,0.03
159.0,0.004095979024560099,5.675467933890161e-112,0.004095979024560099,0,0,0.03
