mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.2774014734820717,5.59814358515562e-56,0.2774014734820717,1,0,0.031
103.0,0.26062845463281387,4.235975515524983e-47,0.26062845463281387,1,1,0.031
105.0,0.24365657729309326,5.4173110187664636e-39,0.24365657729309326,0,1,0.031
107.0,0.22668819647006502,1.170941018993499e-31,0.22668819647006502,0,0,0.031
109.0,0.20990691343149587,4.277669142720537e-25,0.20990691343149587,0,1,0.031
111.0,0.19347757570576427,2.641193884196611e-19,0.19347757570576427,0,2,0.031
113.0,0.17754627708186022,2.7562226420619686e-14,0.17754627708188778,1,0,0.031
115.0,0.1622403576093856,4.861264261445875e-10,0.16224035809551202,0,0,0.031
117.0,0.14766840359855402,1.4491224527277592e-06,0.14766985272100674,0,0,0.031
119.0,0.13392024762019056,0.0007300991818261933,0.13465034680201676,0,0,0.031
121.0,0.1210669685057322,0.06216981271999257,0.1832367812257248,0,0,0.031
123.0,0.10916089134722765,0.8947427283173155,1.0039036196645432,0,2,0.031
125.0,0.09823558749733709,2.176394987397422,2.2746305748947595,0,3,0.031
127.0,0.08830587456933275,0.8947427283173155,0.9830486028866483,0,1,0.031
129.0,0.07936781643709817,0.06216981271999257,0.14153762915709073,0,0,0.031
131.0,0.07139872323512894,0.0007300991818261933,0.07212882241695513,0,0,0.031
133.0,0.06435715135853214,1.4491224527277592e-06,0.06435860048098486,0,0,0.031
135.0,0.05818290346302659,4.861264261445875e-10,0.058182903949153014,0,0,0.031
137.0,0.05279702846494289,2.7562226420619686e-14,0.052797028464970454,0,0,0.031
139.0,0.04810182154122324,2.641193884196611e-19,0.04810182154122324,0,0,0.031
141.0,0.04398082412942162,4.277669142720537e-25,0.04398082412942162,0,0,0.031
143.0,0.04029882392770366,1.170941018993499e-31,0.04029882392770366,0,0,0.031
145.0,0.036901854894846736,5.4173110187664636e-39,0.036901854894846736,1,0,0.031
147.0,0.03361719725023989,4.235975515524983e-47,0.03361719725023989,0,0,0.031
149.0,0.030253377473883878,5.59814358515562e-56,0.030253377473883878,0,0,0.031
151.0,0.026600168306391163,1.25041894961826e-65,0.026600168306391163,0,1,0.031
153.0,0.022428588748985918,4.7204997715250776e-76,0.022428588748985918,0,0,0.031
155.0,0.017490904063504,3.011905463866538e-87,0.017490904063504,0,0,0.031
157.0,0.011520625772392967,3.247996950194915e-99,0.011520625772392967,0,0,0.031
159.0,0.004232511658712103,5.9198514691397e-112,0.004232511658712103,0,0,0.031
