mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.2058139964544403,3.8139230852904944e-56,0.2058139964544403,1,0,0.023
103.0,0.19336949859853933,2.88590039923689e-47,0.19336949859853933,1,1,0.023
105.0,0.180777460572295,3.6907248341143854e-39,0.180777460572295,0,1,0.023
107.0,0.16818801673585468,7.977428438411047e-32,0.16818801673585468,0,0,0.023
109.0,0.15573738738465823,2.9143055812140507e-25,0.15573738738465823,0,0,0.023
111.0,0.143547878749438,1.799401922161577e-19,0.143547878749438,0,0,0.023
113.0,0.13172788299621888,1.877769121648616e-14,0.13172788299623767,1,0,0.023
115.0,0.12037187822631835,3.3118993302689066e-10,0.12037187855750829,0,1,0.023
117.0,0.10956042847634652,9.872632760843247e-07,0.10956141573962261,0,0,0.023
119.0,0.0993601837182059,0.0004974045559499909,0.09985758827415589,0,0,0.023
121.0,0.08982387985909164,0.04235527015950503,0.13217915001859668,0,0,0.023
123.0,0.08099033874149147,0.6095734943230023,0.6905638330644939,0,0,0.023
125.0,0.07288446814318558,1.4827420838500698,1.5556265519932553,0,1,0.023
127.0,0.06551726177724689,0.6095734943230023,0.6750907561002493,0,1,0.023
129.0,0.05888579929204058,0.04235527015950503,0.10124106945154561,0,0,0.023
131.0,0.05297324627122469,0.0004974045559499909,0.053470650827174684,0,0,0.023
133.0,0.047748854233749645,9.872632760843247e-07,0.04774984149702573,0,0,0.023
135.0,0.043167960633858436,3.3118993302689066e-10,0.043167960965048366,0,0,0.023
137.0,0.03917198886108666,1.877769121648616e-14,0.039171988861105435,0,0,0.023
139.0,0.035688448240262405,1.799401922161577e-19,0.035688448240262405,0,0,0.023
141.0,0.03263093403150636,2.9143055812140507e-25,0.03263093403150636,0,0,0.023
143.0,0.02989912743023175,7.977428438411047e-32,0.02989912743023175,0,0,0.023
145.0,0.027378795567144353,3.6907248341143854e-39,0.027378795567144353,1,0,0.023
147.0,0.024941791508242498,2.88590039923689e-47,0.024941791508242498,0,0,0.023
149.0,0.02244605425481707,3.8139230852904944e-56,0.02244605425481707,0,0,0.023
151.0,0.019735608743451507,8.518898498565757e-66,0.019735608743451507,0,0,0.023
153.0,0.016640565846021808,3.215998800114293e-76,0.016640565846021808,0,0,0.023
155.0,0.012977122369696514,2.051961619886504e-87,0.012977122369696514,0,0,0.023
157.0,0.008547561056936718,2.2128068637162602e-99,0.008547561056936718,0,0,0.023
159.0,0.0031402505854960763,4.033097371691499e-112,0.0031402505854960763,0,0,0.023
