mass,expected_background,expected_signal,expected_total,observed_background,observed_total,luminosity
101.0,0.7583719554896329,2.9232981111794696e-55,0.7583719554896329,1,0,1.0
103.0,0.6606533485732184,2.2119867122330045e-46,0.6606533485732184,1,1,1.0
105.0,0.5726970893416755,2.8288690398768154e-38,0.5726970893416755,0,1,1.0
107.0,0.4938302577371296,6.1145442539253925e-31,0.4938302577371296,0,0,1.0
109.0,0.4234039665609159,2.233758733578112e-24,0.4234039665609159,0,1,1.0
111.0,0.36079336147358093,1.3792066915547126e-18,0.36079336147358093,0,3,1.0
113.0,0.3053976209948811,1.439273630796996e-13,0.30539762099502504,1,0,1.0
115.0,0.2566399565037832,2.5385066347907805e-09,0.2566399590422898,0,0,1.0
117.0,0.21396761223846494,7.567181628137998e-06,0.2139751794200931,0,0,1.0
119.0,0.17685186529631403,0.003812509498444487,0.18066437479475853,1,0,1.0
121.0,0.1447880256339288,0.32464493511501014,0.4694329607489389,0,0,1.0
123.0,0.1172954360671181,4.672262666890607,4.7895581029577246,0,9,1.0
125.0,0.09391747227090104,11.364930640060546,11.458848112331447,0,16,1.0
127.0,0.07422154277950752,4.672262666890607,4.746484209670114,0,6,1.0
129.0,0.05779908898637738,0.32464493511501014,0.3824440241013875,0,0,1.0
131.0,0.04426558514416139,0.003812509498444487,0.04807809464260587,0,0,1.0
133.0,0.03326053836472049,7.567181628137998e-06,0.033268105546348625,0,0,1.0
135.0,0.02444748861912614,2.5385066347907805e-09,0.024447491157632773,0,0,1.0
137.0,0.017514008737660267,1.439273630796996e-13,0.017514008737804194,0,0,1.0
139.0,0.012171704409815225,1.3792066915547126e-18,0.012171704409815227,0,0,1.0
141.0,0.008156214184293822,2.233758733578112e-24,0.008156214184293822,0,0,1.0
143.0,0.005227209469009315,6.1145442539253925e-31,0.005227209469009315,0,0,1.0
145.0,0.003168394531085408,2.8288690398768154e-38,0.003168394531085408,0,0,1.0
147.0,0.0017875064968562544,2.2119867122330045e-46,0.0017875064968562544,0,0,1.0
149.0,0.0009163153518664549,2.9232981111794696e-55,0.0009163153518664549,0,0,1.0
151.0,0.0004106239408710576,6.529570558523755e-65,0.0004106239408710576,0,0,1.0
153.0,0.00015026796783555954,2.4650007374790785e-75,0.00015026796783555954,0,0,1.0
155.0,3.91159959359056e-05,1.5727888039383718e-86,3.91159959359056e-05,0,0,1.0
157.0,5.069447558488637e-06,1.6960735653152294e-98,5.069447558488637e-06,0,0,1.0
159.0,6.260430014958766e-08,3.091290952966514e-111,6.260430014958766e-08,0,0,1.0
